# STN,YYYYMMDD,   RH, EV24
# 
  348,20001201,   16,    2
  348,20001202,    5,    3
  348,20001203,   70,    4
  348,20001204,    5,    2
  348,20001205,    2,    4
  348,20001206,   33,    2
  348,20001207,   12,    3
  348,20001208,    6,    3
  348,20001209,    0,    3
  348,20001210,   58,    2
  348,20001211,   73,    3
  348,20001212,   60,    1
  348,20001213,   22,    2
  348,20001214,   23,    2
  348,20001215,  105,    2
  348,20001216,   37,    1
  348,20001217,   -1,    2
  348,20001218,   -1,    1
  348,20001219,    0,    3
  348,20001220,    0,    3
  348,20001221,    0,    4
  348,20001222,    0,    4
  348,20001223,   15,    4
  348,20001224,   20,    1
  348,20001225,   -1,    3
  348,20001226,    0,    2
  348,20001227,   20,    1
  348,20001228,    6,    2
  348,20001229,   65,    3
  348,20001230,   50,    2
  348,20001231,    0,    4
  348,20010101,   88,    1
  348,20010102,    3,    3
  348,20010103,   20,    4
  348,20010104,   34,    1
  348,20010105,  157,    1
  348,20010106,   21,    2
  348,20010107,   -1,    2
  348,20010108,   11,    2
  348,20010109,    0,    3
  348,20010110,    0,    3
  348,20010111,    0,    4
  348,20010112,    0,    2
  348,20010113,    0,    4
  348,20010114,    0,    2
  348,20010115,    0,    5
  348,20010116,    0,    5
  348,20010117,    0,    6
  348,20010118,    1,    1
  348,20010119,   -1,    1
  348,20010120,   37,    1
  348,20010121,   18,    3
  348,20010122,   24,    2
  348,20010123,   32,    4
  348,20010124,    9,    5
  348,20010125,    7,    2
  348,20010126,    7,    2
  348,20010127,  157,    2
  348,20010128,   -1,    6
  348,20010129,    0,    6
  348,20010130,    0,    4
  348,20010131,    0,    3
  348,20010201,    9,    4
  348,20010202,   39,    1
  348,20010203,   75,    2
  348,20010204,  230,    1
  348,20010205,   25,    3
  348,20010206,   39,    3
  348,20010207,   47,    6
  348,20010208,  134,    4
  348,20010209,    1,    7
  348,20010210,    4,    9
  348,20010211,    1,    3
  348,20010212,   34,    4
  348,20010213,    0,    9
  348,20010214,    0,    5
  348,20010215,    0,   11
  348,20010216,    8,    2
  348,20010217,    0,    3
  348,20010218,    0,    6
  348,20010219,    3,    5
  348,20010220,    0,    7
  348,20010221,   39,    3
  348,20010222,   21,    6
  348,20010223,   34,    9
  348,20010224,   11,   13
  348,20010225,   20,    8
  348,20010226,   55,   10
  348,20010227,    0,    7
  348,20010228,   12,    7
  348,20010301,   21,    2
  348,20010302,   -1,   11
  348,20010303,    0,    7
  348,20010304,    0,    4
  348,20010305,    0,    5
  348,20010306,    0,   15
  348,20010307,   38,    9
  348,20010308,   27,    3
  348,20010309,    5,    4
  348,20010310,   40,    4
  348,20010311,   82,    6
  348,20010312,   19,   15
  348,20010313,    6,    6
  348,20010314,    0,   13
  348,20010315,    1,   12
  348,20010316,    7,    7
  348,20010317,   75,    2
  348,20010318,   73,    3
  348,20010319,   21,   11
  348,20010320,    0,   13
  348,20010321,   48,    2
  348,20010322,    0,    4
  348,20010323,  155,    2
  348,20010324,    3,   18
  348,20010325,    0,    3
  348,20010326,    0,   11
  348,20010327,    0,   10
  348,20010328,   13,   10
  348,20010329,   78,    6
  348,20010330,   -1,   11
  348,20010331,   -1,   11
  348,20010401,    0,   10
  348,20010402,   -1,   31
  348,20010403,   -1,   24
  348,20010404,   54,   11
  348,20010405,  107,   16
  348,20010406,   52,   14
  348,20010407,   36,   19
  348,20010408,   11,   11
  348,20010409,   -1,    7
  348,20010410,    7,   16
  348,20010411,   15,   20
  348,20010412,    4,   18
  348,20010413,    0,   14
  348,20010414,   74,   12
  348,20010415,   30,   12
  348,20010416,   52,   11
  348,20010417,    2,   13
  348,20010418,   63,   20
  348,20010419,   66,   20
  348,20010420,    1,   16
  348,20010421,    0,   24
  348,20010422,    0,   27
  348,20010423,    0,   18
  348,20010424,    6,   19
  348,20010425,   60,   17
  348,20010426,   21,   21
  348,20010427,   10,   18
  348,20010428,   35,   19
  348,20010429,   -1,   31
  348,20010430,   26,   24
  348,20010501,    0,   18
  348,20010502,    0,   31
  348,20010503,   27,   22
  348,20010504,   18,   10
  348,20010505,    0,   33
  348,20010506,    0,   25
  348,20010507,    0,   39
  348,20010508,    0,   32
  348,20010509,    0,   38
  348,20010510,    0,   47
  348,20010511,    0,   47
  348,20010512,    0,   47
  348,20010513,   -1,   46
  348,20010514,   50,   21
  348,20010515,   29,   32
  348,20010516,   54,   19
  348,20010517,   15,   25
  348,20010518,   18,   17
  348,20010519,    0,   34
  348,20010520,    0,   29
  348,20010521,    0,   43
  348,20010522,    0,   46
  348,20010523,    0,   49
  348,20010524,    0,   48
  348,20010525,    0,   49
  348,20010526,    0,   40
  348,20010527,   -1,   18
  348,20010528,    8,   27
  348,20010529,    0,   48
  348,20010530,    0,   36
  348,20010531,    9,   34
  348,20010601,   30,   21
  348,20010602,  112,   16
  348,20010603,   28,   25
  348,20010604,   -1,   19
  348,20010605,    0,   42
  348,20010606,   11,   39
  348,20010607,   28,   32
  348,20010608,    0,   40
  348,20010609,    0,   34
  348,20010610,   11,   26
  348,20010611,   -1,   39
  348,20010612,    0,   22
  348,20010613,    0,   37
  348,20010614,    0,   47
  348,20010615,   56,   29
  348,20010616,   56,   25
  348,20010617,  344,   16
  348,20010618,    0,   17
  348,20010619,    0,   39
  348,20010620,   -1,   43
  348,20010621,    0,   36
  348,20010622,   -1,   23
  348,20010623,    0,   34
  348,20010624,    0,   46
  348,20010625,    0,   53
  348,20010626,    0,   52
  348,20010627,    1,   20
  348,20010628,   -1,   42
  348,20010629,   -1,   39
  348,20010630,   -1,   35
  348,20010701,    0,   47
  348,20010702,    0,   25
  348,20010703,    0,   54
  348,20010704,    0,   57
  348,20010705,   -1,   54
  348,20010706,   -1,   38
  348,20010707,   21,   26
  348,20010708,  166,    5
  348,20010709,   -1,   28
  348,20010710,   57,   24
  348,20010711,    2,   30
  348,20010712,   48,   25
  348,20010713,   32,   32
  348,20010714,   43,   12
  348,20010715,   -1,   24
  348,20010716,    0,   40
  348,20010717,    7,   36
  348,20010718,  109,   24
  348,20010719,  181,   23
  348,20010720,   31,   21
  348,20010721,   45,   14
  348,20010722,   -1,   42
  348,20010723,   57,   38
  348,20010724,   -1,   47
  348,20010725,    0,   42
  348,20010726,    0,   46
  348,20010727,    2,   29
  348,20010728,    0,   41
  348,20010729,    0,   43
  348,20010730,    0,   43
  348,20010731,    0,   36
  348,20010801,    0,   36
  348,20010802,   15,   34
  348,20010803,    7,   23
  348,20010804,    5,   26
  348,20010805,   25,   31
  348,20010806,   38,   24
  348,20010807,  174,   20
  348,20010808,  110,   20
  348,20010809,  131,   17
  348,20010810,   12,   28
  348,20010811,    0,   35
  348,20010812,   21,   11
  348,20010813,    1,   10
  348,20010814,    0,   43
  348,20010815,    8,   39
  348,20010816,   -1,   26
  348,20010817,   -1,   37
  348,20010818,   -1,   33
  348,20010819,   -1,   30
  348,20010820,   -1,   24
  348,20010821,    0,   31
  348,20010822,    0,   36
  348,20010823,    0,   30
  348,20010824,    0,   37
  348,20010825,    0,   38
  348,20010826,  265,   23
  348,20010827,   21,   34
  348,20010828,   -1,   28
  348,20010829,    0,   30
  348,20010830,   -1,   15
  348,20010831,   51,   10
  348,20010901,    1,   27
  348,20010902,   13,    6
  348,20010903,  116,   10
  348,20010904,  202,   17
  348,20010905,   13,   16
  348,20010906,   38,   19
  348,20010907,   35,    9
  348,20010908,   43,   21
  348,20010909,   89,   16
  348,20010910,   44,   18
  348,20010911,   38,   25
  348,20010912,   19,   10
  348,20010913,   79,   16
  348,20010914,   16,   17
  348,20010915,   62,   16
  348,20010916,  113,   12
  348,20010917,  147,   13
  348,20010918,    0,   13
  348,20010919,  411,    2
  348,20010920,   50,   10
  348,20010921,    1,   21
  348,20010922,   22,   17
  348,20010923,    2,   16
  348,20010924,   14,   10
  348,20010925,   -1,   15
  348,20010926,   30,   16
  348,20010927,   50,   10
  348,20010928,    0,   23
  348,20010929,   64,   13
  348,20010930,    4,   16
  348,20011001,   15,    6
  348,20011002,   92,    4
  348,20011003,    3,   14
  348,20011004,   -1,   11
  348,20011005,    0,   18
  348,20011006,   41,   13
  348,20011007,   10,   14
  348,20011008,    0,   12
  348,20011009,   10,   12
